#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  137
#! SET periodic_phi true
   -3.141592654  -84.177680290  -51.712934891
   -3.095729987  -86.453414164  -47.464849269
   -3.049867321  -88.514350562  -42.486558534
   -3.004004654  -90.339387892  -37.207248040
   -2.958141988  -91.925089036  -32.164325754
   -2.912279321  -93.291497818  -27.622480947
   -2.866416655  -94.464868310  -23.816968644
   -2.820553988  -95.472176119  -20.274567447
   -2.774691322  -96.317114909  -16.747993442
   -2.728828655  -96.994055964  -12.900307490
   -2.682965989  -97.489571307   -8.898770798
   -2.637103322  -97.801849388   -5.004415531
   -2.591240656  -97.947953983   -1.687936300
   -2.545377989  -97.960576182    0.668779263
   -2.499515323  -97.891533748    1.951172834
   -2.453652656  -97.785601990    2.353946871
   -2.407789990  -97.670796472    2.474827475
   -2.361927324  -97.546155049    2.764789793
   -2.316064657  -97.400405557    3.431115091
   -2.270201991  -97.218696895    4.224371348
   -2.224339324  -96.995620120    5.335743783
   -2.178476658  -96.712447437    6.814873919
   -2.132613991  -96.358215365    8.325379857
   -2.086751325  -95.953695598    8.726428271
   -2.040888658  -95.577581880    7.083795494
   -1.995025992  -95.323739240    3.512215301
   -1.949163325  -95.251832807   -0.519770555
   -1.903300659  -95.342016780   -3.454290035
   -1.857437992  -95.532659890   -4.810605447
   -1.811575326  -95.768609960   -5.810760436
   -1.765712659  -96.064500891   -7.486516354
   -1.719849993  -96.461337022  -10.244452271
   -1.673987326  -96.996248502  -13.234232829
   -1.628124660  -97.651381979  -15.353069002
   -1.582261993  -98.363846351  -15.586789425
   -1.536399327  -99.038471955  -13.761954464
   -1.490536660  -99.586277213  -10.067446650
   -1.444673994  -99.937431095   -5.407480964
   -1.398811328 -100.067041426   -0.499665366
   -1.352948661  -99.975823460    4.202279462
   -1.307085995  -99.673302665    8.661832671
   -1.261223328  -99.168188798   13.098891097
   -1.215360662  -98.464127247   17.291533375
   -1.169497995  -97.575461250   21.095898188
   -1.123635329  -96.519832439   24.664135688
   -1.077772662  -95.297825477   28.421124512
   -1.031909996  -93.894726099   32.531957581
   -0.986047329  -92.304277168   36.380207576
   -0.940184663  -90.559402223   39.190023919
   -0.894321996  -88.726051684   40.174240104
   -0.848459330  -86.882552512   39.745958596
   -0.802596663  -85.072203609   38.974811351
   -0.756733997  -83.279939238   39.105898906
   -0.710871330  -81.444792583   40.881767159
   -0.665008664  -79.497058274   43.921345176
   -0.619145997  -77.412140605   46.473311015
   -0.573283331  -75.262861078   46.430668328
   -0.527420664  -73.200046296   42.642707610
   -0.481557998  -71.377918187   36.271386574
   -0.435695332  -69.852598865   30.357584733
   -0.389832665  -68.533767955   27.553099579
   -0.343969999  -67.259832926   28.155373487
   -0.298107332  -65.926605064   29.642314397
   -0.252244666  -64.572998827   28.511206659
   -0.206381999  -63.366962736   23.176438200
   -0.160519333  -62.481671630   15.047546010
   -0.114656666  -61.968616167    7.442088864
   -0.068794000  -61.737840997    3.009892210
   -0.022931333  -61.642314910    1.200554895
    0.022931333  -61.629331117   -1.181845695
    0.068794000  -61.804594279   -7.496999370
    0.114656666  -62.369121695  -17.608563690
    0.160519333  -63.420511651  -28.151204040
    0.206381999  -64.879704705  -34.756005649
    0.252244666  -66.525937890  -36.444155314
    0.298107332  -68.180739354  -35.727156219
    0.343969999  -69.812334894  -35.913046259
    0.389832665  -71.496304137  -37.898443759
    0.435695332  -73.289816161  -40.316642859
    0.481557998  -75.168873260  -41.533127063
    0.527420664  -77.069023263  -41.386388618
    0.573283331  -78.951469836  -40.810918613
    0.619145997  -80.810869323  -40.378723118
    0.665008664  -82.642435518  -39.406686846
    0.710871330  -84.400833422  -37.125164531
    0.756733997  -86.019283352  -33.532191399
    0.802596663  -87.458784077  -29.514024986
    0.848459330  -88.727190476  -25.981159152
    0.894321996  -89.847896706  -23.062877380
    0.940184663  -90.828100182  -19.623449693
    0.986047329  -91.612997625  -14.431731251
    1.031909996  -92.109485427   -7.074647328
    1.077772662  -92.228939879    1.742519445
    1.123635329  -91.936259687   10.761565195
    1.169497995  -91.250045411   18.727120931
    1.215360662  -90.228071185   25.462141984
    1.261223328  -88.915829953   31.509739460
    1.307085995  -87.321939326   37.853639852
    1.352948661  -85.418747861   45.023138210
    1.398811328  -83.164848120   53.090019648
    1.444673994  -80.532008443   61.538806802
    1.490536660  -77.519033331   69.274241130
    1.536399327  -74.192966565   75.046934731
    1.582261993  -70.676864547   77.418841042
    1.628124660  -67.138156298   76.057008237
    1.673987326  -63.725169524   72.200723319
    1.719849993  -60.507256310   67.968881456
    1.765712659  -57.459523968   64.891581777
    1.811575326  -54.518684202   63.325389774
    1.857437992  -51.628891386   62.458310345
    1.903300659  -48.781585348   61.333471397
    1.949163325  -46.006820519   59.289630053
    1.995025992  -43.357700853   55.710361377
    2.040888658  -40.920423668   49.879910108
    2.086751325  -38.822023728   40.753618270
    2.132613991  -37.231519717   27.871816313
    2.178476658  -36.304095319   12.116612026
    2.224339324  -36.120077924   -4.140269687
    2.270201991  -36.642193663  -18.235620191
    2.316064657  -37.731833381  -28.837377421
    2.361927324  -39.230602875  -36.172476905
    2.407789990  -41.014497172  -41.548695485
    2.453652656  -43.027698532  -46.264216813
    2.499515323  -45.258537914  -51.184170115
    2.545377989  -47.722151697  -56.295437208
    2.591240656  -50.411629960  -60.961998402
    2.637103322  -53.284604461  -64.023784233
    2.682965989  -56.249451611  -64.926748050
    2.728828655  -59.212189435  -64.137751120
    2.774691322  -62.123985843  -63.027256642
