#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
   -3.141592654 -120.473145373  -54.213182736
   -2.951193099 -128.942627791  -34.341632395
   -2.760793544 -133.462767715  -13.688045372
   -2.570393989 -134.448736818    2.013140301
   -2.379994435 -133.243770197    8.997270071
   -2.189594880 -131.598067455    6.953314412
   -1.999195325 -130.949203855   -0.600806408
   -1.808795770 -131.794125029   -7.650943312
   -1.618396215 -133.466325743   -8.582915775
   -1.427996661 -134.503951686   -1.013137092
   -1.237597106 -133.412566747   13.091135575
   -1.047197551 -129.410425220   28.625110227
   -0.856797996 -122.761588223   40.022618642
   -0.666398442 -114.642627373   43.677264778
   -0.475998887 -106.659759269   38.617241217
   -0.285599332 -100.392817879   25.968528810
   -0.095199777  -97.089302404    7.923874299
    0.095199777  -97.510173472  -12.567693543
    0.285599332 -101.764340006  -31.572449384
    0.475998887 -109.091934978  -43.881754168
    0.666398442 -117.685333383  -44.124276759
    0.856797996 -124.883634361  -29.107349663
    1.047197551 -127.873943258   -0.680260808
    1.237597106 -124.756750320   33.370360711
    1.427996661 -115.507787277   61.815273319
    1.618396215 -102.206535135   74.612278327
    1.808795770  -88.384100912   67.136169403
    1.999195325  -77.779014733   41.773165442
    2.189594880  -73.105199720    6.416653633
    2.379994435  -75.317075384  -28.903142992
    2.570393989  -83.545417504  -55.602005996
    2.760793544  -95.609911702  -68.680912396
    2.951193099 -108.765712870  -67.324521400
