#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  31
#! SET periodic_psi true
   -3.141592654   -3.141592654   97.992722941   47.139658618  -14.711314963
   -3.031361332   -3.141592654  102.701943428   37.749317144  -15.823884761
   -2.921130011   -3.141592654  106.301130453   26.959184092  -16.607567066
   -2.810898690   -3.141592654  108.695285666   16.021105710  -17.122757765
   -2.700667369   -3.141592654  109.921206807    5.880043982  -17.392716067
   -2.590436048   -3.141592654  110.131757166   -2.493940010  -17.502061867
   -2.480204727   -3.141592654  109.516995175   -8.690565315  -17.538136984
   -2.369973405   -3.141592654  108.357925061  -12.417996191  -17.632080675
   -2.259742084   -3.141592654  106.913802551  -13.815211303  -17.857717026
   -2.149510763   -3.141592654  105.448041779  -13.243107335  -18.319877066
   -2.039279442   -3.141592654  104.106583585  -11.550806651  -19.074066351
   -1.929048121   -3.141592654  102.962550014   -9.526465573  -20.206103740
   -1.818816799   -3.141592654  102.004543636   -8.002079803  -21.662945507
   -1.708585478   -3.141592654  101.155841933   -7.656586572  -23.383406645
   -1.598354157   -3.141592654  100.240850550   -8.948334061  -25.261626647
   -1.488122836   -3.141592654   99.085715587  -11.885235952  -27.121520868
   -1.377891515   -3.141592654   97.506435008  -16.513166046  -28.794266316
   -1.267660194   -3.141592654   95.340177008  -22.473430145  -30.176169044
   -1.157428872   -3.141592654   92.474708201  -29.047188225  -31.094566089
   -1.047197551   -3.141592654   88.890239575  -35.460494021  -31.395538224
   -0.936966230   -3.141592654   84.650046043  -41.071164588  -31.055393513
   -0.826734909   -3.141592654   79.865872922  -45.169212842  -30.075871810
   -0.716503588   -3.141592654   74.750883451  -47.067503289  -28.434272719
   -0.606272266   -3.141592654   69.587799439  -46.474383780  -26.192471413
   -0.496040945   -3.141592654   64.635023415  -43.305184670  -23.391717980
   -0.385809624   -3.141592654   60.169627942  -37.416932745  -20.165169195
   -0.275578303   -3.141592654   56.483215214  -29.221589512  -16.556332199
   -0.165346982   -3.141592654   53.830099600  -18.951995342  -12.663477776
   -0.055115661   -3.141592654   52.371470566   -7.264048966   -8.660608604
    0.055115661   -3.141592654   52.228154678    5.045845151   -4.643112564
    0.165346982   -3.141592654   53.419101043   17.053276391   -0.710517641
    0.275578303   -3.141592654   55.859849032   27.784100647    3.012049754
    0.385809624   -3.141592654   59.373632878   36.121723292    6.372876984
    0.496040945   -3.141592654   63.654233926   41.248512906    9.320546937
    0.606272266   -3.141592654   68.295489577   42.496821035   11.727018197
    0.716503588   -3.141592654   72.827294280   39.546656227   13.526039730
    0.826734909   -3.141592654   76.811135512   32.432623215   14.658137775
    0.936966230   -3.141592654   79.819130989   21.857844168   15.157076868
    1.047197551   -3.141592654   81.524276257    8.922348940   15.030263075
    1.157428872   -3.141592654   81.740335073   -4.979793192   14.364053961
    1.267660194   -3.141592654   80.446589104  -18.235550906   13.273718180
    1.377891515   -3.141592654   77.804912134  -29.351938866   11.884177493
    1.488122836   -3.141592654   74.121740876  -37.093541035   10.335414390
    1.598354157   -3.141592654   69.813301964  -40.618045860    8.718411896
    1.708585478   -3.141592654   65.377715928  -39.547611014    7.104880641
    1.818816799   -3.141592654   61.282906306  -34.132888555    5.531204464
    1.929048121   -3.141592654   57.997574955  -25.033960402    4.007690068
    2.039279442   -3.141592654   55.893731303  -13.068762915    2.505813263
    2.149510763   -3.141592654   55.206798006    0.640531445    0.968625602
    2.259742084   -3.141592654   56.049508678   14.902070612   -0.615008770
    2.369973405   -3.141592654   58.456390039   28.489887725   -2.339730114
    2.480204727   -3.141592654   62.268398388   40.517154723   -4.177314414
    2.590436048   -3.141592654   67.273402329   50.006173759   -6.077381746
    2.700667369   -3.141592654   73.176898091   56.504432770   -7.997967029
    2.810898690   -3.141592654   79.583039732   59.373856810   -9.908996025
    2.921130011   -3.141592654   86.119110234   58.568912510  -11.718144246
    3.031361332   -3.141592654   92.370201431   54.308945929  -13.337174696

   -3.141592654   -2.938909257   94.503141926   45.184323452  -20.716400778
   -3.031361332   -2.938909257   99.019617257   36.382993093  -21.894123954
   -2.921130011   -2.938909257  102.506199121   26.269235294  -22.700451958
   -2.810898690   -2.938909257  104.854295748   15.822869845  -23.111785750
   -2.700667369   -2.938909257  106.088439938    6.105330986  -23.213542944
   -2.590436048   -2.938909257  106.321597011   -2.156908287  -23.100694605
   -2.480204727   -2.938909257  105.761164745   -8.345159624  -22.896404199
   -2.369973405   -2.938909257  104.634489583  -12.292089257  -22.667485869
   -2.259742084   -2.938909257  103.194452835  -14.108096849  -22.587545485
   -2.149510763   -2.938909257  101.661365081  -14.178336585  -22.716009023
   -2.039279442   -2.938909257  100.164039289  -13.219293306  -23.182093914
   -1.929048121   -2.938909257   98.800498792  -11.897359151  -24.005158557
   -1.818816799   -2.938909257   97.546996079  -10.971312350  -25.129886137
   -1.708585478   -2.938909257   96.330839304  -11.042855235  -26.492501269
   -1.598354157   -2.938909257   95.028532981  -12.439578009  -27.958693782
   -1.488122836   -2.938909257   93.497185171  -15.311757076  -29.414685063
   -1.377891515   -2.938909257   91.553412799  -19.461325537  -30.683010571
   -1.267660194   -2.938909257   89.095363357  -24.573361371  -31.550045108
   -1.157428872   -2.938909257   86.050882208  -30.073919580  -31.860155873
   -1.047197551   -2.938909257   82.432718984  -35.263775575  -31.542790915
   -0.936966230   -2.938909257   78.282238743  -39.487994343  -30.561982978
