#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  31
#! SET periodic_psi true
   -3.141592654   -3.141592654   97.982528657   47.131692558  -14.687329330
   -3.031361332   -3.141592654  102.690993339   37.743949136  -15.798101782
   -2.921130011   -3.141592654  106.289732544   26.956701673  -16.580735522
   -2.810898690   -3.141592654  108.683753086   16.021402729  -17.095649341
   -2.700667369   -3.141592654  109.909777031    5.882451529  -17.365937219
   -2.590436048   -3.141592654  110.120624316   -2.490267064  -17.476150538
   -2.480204727   -3.141592654  109.506274850   -8.686546278  -17.513449842
   -2.369973405   -3.141592654  108.347579657  -12.414737569  -17.608612713
   -2.259742084   -3.141592654  106.903662353  -13.813835318  -17.835511724
   -2.149510763   -3.141592654  105.437874599  -13.244231394  -18.298352821
   -2.039279442   -3.141592654  104.096102074  -11.554709803  -19.053002227
   -1.929048121   -3.141592654  102.951495368   -9.532904447  -20.184953849
   -1.818816799   -3.141592654  101.992662311   -8.010520099  -21.641351332
   -1.708585478   -3.141592654  101.142958616   -7.666158497  -23.361182841
   -1.598354157   -3.141592654  100.226986223   -8.958361822  -25.239023198
   -1.488122836   -3.141592654   99.070869118  -11.894273995  -27.098636364
   -1.377891515   -3.141592654   97.490850389  -16.520314085  -28.771741009
   -1.267660194   -3.141592654   95.324046995  -22.477281750  -30.154345801
   -1.157428872   -3.141592654   92.458376273  -29.046954503  -31.073989662
   -1.047197551   -3.141592654   88.874219906  -35.456335903  -31.377022296
   -0.936966230   -3.141592654   84.634709046  -41.063017982  -31.039265266
   -0.826734909   -3.141592654   79.851625508  -45.157721832  -30.062456907
   -0.716503588   -3.141592654   74.738046746  -47.053563332  -28.423659550
   -0.606272266   -3.141592654   69.576587170  -46.459027291  -26.184529218
   -0.496040945   -3.141592654   64.625533793  -43.289454070  -23.386143631
   -0.385809624   -3.141592654   60.161849214  -37.401763115  -20.161551056
   -0.275578303   -3.141592654   56.477042723  -29.207719643  -16.554217439
   -0.165346982   -3.141592654   53.825360522  -18.939918665  -12.662430964
   -0.055115661   -3.141592654   52.367991533   -7.254139204   -8.660135273
    0.055115661   -3.141592654   52.225678791    5.053606188   -4.643115777
    0.165346982   -3.141592654   53.417413996   17.059045475   -0.710794068
    0.275578303   -3.141592654   55.858743390   27.788227970    3.011661308
    0.385809624   -3.141592654   59.372970326   36.124369065    6.372418985
