#! FIELDS phi psi file.free der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  33
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  18
#! SET periodic_psi true
   -3.141592654   -3.141592654 -110.659795981  -53.744740676   18.212148571
   -2.951193099   -3.141592654 -119.121208524  -34.488142492   20.676727044
   -2.760793544   -3.141592654 -123.651635056  -13.441640890   22.061900872
   -2.570393989   -3.141592654 -124.479001340    3.627180382   22.600036185
   -2.379994435   -3.141592654 -122.752269845   13.063544505   22.810542435
   -2.189594880   -3.141592654 -119.998516476   14.709817168   23.334439895
   -1.999195325   -3.141592654 -117.449722954   11.620914909   24.688844072
   -1.808795770   -3.141592654 -115.570367190    8.477492891   27.037666628
   -1.618396215   -3.141592654 -113.954813108    9.370840450   30.062317038
   -1.427996661   -3.141592654 -111.618970572   16.094648021   33.033741766
   -1.237597106   -3.141592654 -107.512901536   27.529736614   35.058677617
   -1.047197551   -3.141592654 -101.037184537   40.265221261   35.398296477
   -0.856797996   -3.141592654  -92.352271490   50.011531117   33.701165002
   -0.666398442   -3.141592654  -82.392491961   53.119213432   30.041699101
   -0.475998887   -3.141592654  -72.647234649   47.591808880   24.801605729
   -0.285599332   -3.141592654  -64.793261487   33.456984968   18.492800533
   -0.095199777   -3.141592654  -60.310529712   12.685667289   11.621282188
    0.095199777   -3.141592654  -60.126859252  -10.940652458    4.656761123
    0.285599332   -3.141592654  -64.307954983  -32.191144762   -1.934074293
    0.475998887   -3.141592654  -71.849733976  -45.357638355   -7.647219409
    0.666398442   -3.141592654  -80.749674172  -45.886858166  -11.973876525
    0.856797996   -3.141592654  -88.419284328  -32.639117120  -14.513466481
    1.047197551   -3.141592654  -92.488487475   -9.002574606  -15.137903753
    1.237597106   -3.141592654  -91.642301827   17.556128911  -14.088144826
    1.427996661   -3.141592654  -86.169576736   38.217092024  -11.898489672
    1.618396215   -3.141592654  -77.889754228   46.261108373   -9.172990867
    1.808795770   -3.141592654  -69.505109753   39.369270544   -6.332811560
    1.999195325   -3.141592654  -63.696134085   19.931945609   -3.491709103
    2.189594880   -3.141592654  -62.359613973   -6.528153642   -0.502575186
    2.379994435   -3.141592654  -66.208384089  -33.437645481    2.853663867
